timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
1789661340.262858,2.9,25.0,25.0,0.0,25.0,0.0,0.03,0.0,0.0,25.0,healthy,0.0
1789661341.262858,2.4,25.03,25.0,0.02,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661342.262858,2.7,25.03,25.0,0.01,25.0,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661343.262858,0.3,25.03,25.0,0.01,25.02,0.0,0.04,0.0,0.0,25.0,healthy,0.0
1789661344.262858,0.7,25.0,25.02,0.0,25.01,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661345.262858,3.9,25.0,25.0,0.0,25.02,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661346.262858,4.6,25.0,25.0,0.0,25.03,0.0,0.03,0.0,0.0,25.0,healthy,0.0
1789661347.262858,1.1,25.02,25.0,0.0,25.02,0.0,0.03,0.0,0.0,25.0,healthy,0.0
1789661348.262858,0.0,25.0,25.0,0.0,25.02,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661349.262858,0.0,25.0,25.0,0.0,25.0,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661350.262858,0.0,25.0,25.0,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661351.262858,0.0,25.0,25.15,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661352.262858,0.0,25.0,25.09,0.0,25.0,0.0002,0.01,0.0,0.0,25.0,healthy,0.0
1789661353.262858,0.0,25.0,25.0,0.0,25.0,0.0009,0.01,0.0,0.0,25.0,healthy,0.0
1789661354.262858,0.0,25.01,25.0,0.0,25.0,0.0004,0.03,0.0,0.0,25.0,healthy,0.0
1789661355.262858,0.0,25.01,25.0,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661356.262858,0.5,25.0,25.0,0.0,25.0,0.0006,0.0,0.0,0.0,25.0,healthy,0.0
1789661357.262858,0.0,25.04,25.13,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661358.262858,1.5,25.04,25.17,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661359.262858,2.4,25.04,25.0,0.0,25.0,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661360.262858,1.7,25.01,25.05,0.0,25.0,0.0001,0.0,0.0,0.0,25.0,healthy,0.0
1789661361.262858,2.1,25.02,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661362.262858,2.0,25.0,25.0,0.0,25.0,0.0009,0.0,0.0,0.0,25.0,healthy,0.0
1789661363.262858,1.4,25.0,25.0,0.0,25.01,0.0005,0.0,0.0,0.0,25.0,healthy,0.0
1789661364.262858,1.0,25.0,25.0,0.0,25.01,0.001,0.0,0.0,0.0,25.0,healthy,0.0
1789661365.262858,0.0,25.0,25.0,0.01,25.0,0.0007,0.01,0.0,0.0,25.0,healthy,0.0
1789661366.262858,0.0,25.0,25.36,0.01,25.02,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661367.262858,0.6,25.0,25.21,0.0,25.01,0.0006,0.0,0.0,0.0,25.0,healthy,0.0
1789661368.262858,0.3,25.0,25.19,0.0,25.0,0.001,0.0,0.0,0.0,25.0,healthy,0.0
1789661369.262858,1.3,25.01,25.46,0.0,25.0,0.001,0.0,0.0,0.0,25.0,healthy,0.0
1789661370.262858,3.4,25.01,25.8,0.0,25.0,0.0012,0.0,0.0,0.0,25.0,healthy,0.0
1789661371.262858,0.4,25.0,25.46,0.0,25.0,0.0003,0.0,0.0,0.0,25.0,healthy,0.0
1789661372.262858,0.4,25.0,25.0,0.0,25.0,0.0011,0.03,0.0,0.0,25.0,healthy,0.0
1789661373.262858,0.1,25.0,25.0,0.0,25.0,0.0003,0.03,0.0,0.0,25.0,healthy,0.0
1789661374.262858,0.5,25.0,25.0,0.0,25.0,0.0014,0.01,0.0,0.0,25.0,healthy,0.0
1789661375.262858,1.5,25.0,25.3,0.0,25.0,0.001,0.0,0.0,0.0,25.0,healthy,0.0
1789661376.262858,0.4,25.0,25.67,0.0,25.0,0.0011,0.01,0.0,0.0,25.0,healthy,0.0
1789661377.262858,3.2,25.0,25.0,0.0,25.0,0.0,0.02,0.0,0.0,25.0,healthy,0.0
1789661378.262858,1.6,25.03,25.0,0.0,25.01,0.0,0.01,0.0,0.0,25.0,healthy,0.0
1789661379.262858,0.0,25.04,25.0,0.0,25.01,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661380.262858,1.0,25.05,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661381.262858,0.3,25.04,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661382.262858,0.0,25.04,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661383.262858,0.0,25.06,25.06,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661384.262858,0.0,25.05,25.0,0.0,25.01,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661385.262858,0.0,25.03,25.0,0.0,25.01,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661386.262858,0.0,25.05,25.0,0.0,25.02,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661387.262858,0.0,25.06,25.0,0.0,25.03,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661388.262858,0.0,25.0,25.0,0.0,25.02,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661389.262858,0.0,25.01,25.21,0.0,25.02,0.0006,0.0,0.0,0.0,25.0,healthy,0.0
1789661390.262858,0.0,25.01,25.07,0.01,25.03,0.0016,0.0,0.0,0.0,25.0,healthy,0.0
1789661391.262858,0.0,25.0,25.45,0.01,25.03,0.0008,0.0,0.0,0.0,25.0,healthy,0.0
1789661392.262858,0.0,25.0,25.51,0.0,25.05,0.0007,0.0,0.0,0.0,25.0,healthy,0.0
1789661393.262858,0.0,25.0,25.54,0.0,25.04,0.0008,0.0,0.0,0.0,25.0,healthy,0.0
1789661394.262858,0.0,25.0,25.83,0.01,25.04,0.0001,0.0,0.0,0.0,25.0,healthy,0.0
1789661395.262858,0.0,25.0,25.86,0.01,25.04,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661396.262858,0.0,25.0,25.3,0.0,25.04,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661397.262858,0.2,25.0,25.44,0.0,25.04,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661398.262858,0.0,25.0,25.37,0.0,25.02,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661399.262858,0.0,25.0,25.11,0.0,25.0,0.0,0.0,0.0,0.0,25.0,healthy,0.0
1789661400.262858,856.0,28.42,154.6,1.58,25.43,0.0175,3.54,10.0,0.0,25.0,healthy,0.0
1789661401.262858,1315.2,32.06,255.6,1.95,25.95,0.0238,4.94,10.0,0.0,25.0,healthy,0.0
1789661402.262858,1532.8,35.87,333.11,2.23,26.33,0.0203,5.6,10.0,0.0,25.0,healthy,0.0
1789661403.262858,1691.7,39.92,389.61,2.27,26.85,0.0256,6.05,10.0,0.0,25.0,healthy,0.0
1789661404.262858,1774.0,43.58,427.51,2.38,27.36,0.0286,6.39,10.0,0.0,25.0,healthy,0.0
1789661405.262858,1815.7,46.73,461.18,2.38,27.85,0.0259,6.4,10.0,0.0,25.0,healthy,0.0
1789661406.262858,1844.4,49.97,480.14,2.31,28.12,0.0274,6.57,10.0,0.0,25.0,healthy,0.0
1789661407.262858,1849.9,53.16,497.13,2.32,28.49,0.0299,6.47,10.0,0.0,25.0,healthy,0.0
1789661408.262858,1856.6,55.85,514.69,2.35,28.9,0.0305,6.4,10.0,0.0,25.0,healthy,0.0
1789661409.262858,1863.7,58.52,523.46,2.38,29.2,0.0314,6.42,10.0,0.0,25.0,healthy,0.0
1789661410.262858,1881.8,60.95,533.45,2.37,29.48,0.0208,6.46,10.0,0.0,25.0,healthy,0.0
1789661411.262858,1885.5,63.31,537.45,2.33,29.79,0.0182,6.51,10.0,0.0,25.0,healthy,0.0
1789661412.262858,1861.5,65.45,546.39,2.29,30.14,0.0244,6.34,10.0,0.0,25.0,healthy,0.0
1789661413.262858,1868.4,67.81,552.48,2.27,30.28,0.0249,6.36,10.0,0.0,25.0,healthy,0.0
1789661414.262858,1846.0,70.21,550.98,2.29,30.69,0.0297,6.58,10.0,0.0,25.0,healthy,0.0
1789661415.262858,1828.6,72.31,551.57,2.31,30.96,0.0303,6.62,10.0,0.0,25.0,healthy,0.0
1789661416.262858,1820.6,74.27,554.27,2.26,31.18,0.0244,6.53,10.0,0.0,25.0,healthy,0.0
1789661417.262858,1836.7,75.89,553.2,2.23,31.68,0.0203,6.53,10.0,0.0,25.0,healthy,0.0
1789661418.262858,1840.5,77.6,551.18,2.27,31.96,0.0268,6.44,10.0,0.0,25.0,healthy,0.0
1789661419.262858,1867.8,79.53,552.8,2.37,32.37,0.0258,6.42,10.0,0.0,25.0,healthy,0.0
1789661420.262858,1879.2,81.16,553.35,2.35,32.6,0.0146,6.32,10.0,0.0,25.0,healthy,0.0
1789661421.262858,1848.3,82.36,546.42,2.31,33.03,0.0251,6.44,10.0,0.0,25.0,healthy,0.0
1789661422.262858,1837.3,83.67,538.38,2.34,33.4,0.0256,6.42,10.0,0.0,25.0,healthy,0.0
1789661423.262858,1807.7,84.62,537.98,2.27,33.48,0.0252,6.44,10.0,0.0,25.0,healthy,0.0
1789661424.262858,1783.3,86.0,542.46,2.43,33.8,0.0302,6.43,10.0,0.0,25.0,healthy,0.0
1789661425.262858,1812.7,86.97,540.13,2.42,34.11,0.0277,6.48,10.0,0.0,25.0,healthy,0.0
1789661426.262858,1813.2,88.16,544.22,2.4,34.49,0.0205,6.29,10.0,0.0,25.0,healthy,0.0
1789661427.262858,1816.5,88.91,543.32,2.3,34.81,0.0172,6.32,10.0,0.0,25.0,healthy,0.0
1789661428.262858,1837.8,90.2,543.72,2.34,35.16,0.0237,6.2,10.0,0.0,25.0,healthy,0.0
1789661429.262858,1835.7,91.44,543.9,2.29,35.56,0.0271,6.25,10.0,0.0,25.0,healthy,0.0
1789661430.262858,1833.4,92.28,546.96,2.32,36.01,0.0282,6.23,10.0,0.0,25.0,healthy,0.0
1789661431.262858,1814.3,93.37,543.76,2.32,36.37,0.0353,6.4,10.0,0.0,25.0,healthy,0.0
1789661432.262858,1829.8,94.08,540.86,2.37,36.7,0.0316,6.46,10.0,0.0,25.0,healthy,0.0
1789661433.262858,1828.5,94.92,543.9,2.43,36.91,0.0333,6.47,10.0,0.0,25.0,healthy,0.0
1789661434.262858,1843.0,95.63,544.5,2.41,37.21,0.0299,6.48,10.0,0.0,25.0,healthy,0.0
1789661435.262858,1822.7,96.31,543.42,2.41,37.46,0.0279,6.5,10.0,0.0,25.0,healthy,0.0
1789661436.262858,1832.2,97.05,542.3,2.38,37.77,0.0327,6.62,10.0,0.0,25.0,healthy,0.0
1789661437.262858,1854.7,97.59,543.27,2.46,38.08,0.0286,6.45,10.0,0.0,25.0,healthy,0.0
1789661438.262858,1834.7,98.2,536.96,2.47,38.48,0.0233,6.36,10.0,0.0,25.0,healthy,0.0
1789661439.262858,1818.6,98.69,545.97,2.42,38.73,0.0206,6.36,10.0,0.0,25.0,healthy,0.0
1789661440.262858,1818.4,99.4,539.14,2.44,38.94,0.0191,6.4,10.0,0.0,25.0,healthy,0.0
1789661441.262858,1797.2,99.98,537.44,2.41,38.88,0.022,6.32,10.0,0.0,25.0,healthy,0.0
